sn,year,month,day,mag,depth,lat,lon,location
745,2020,12,18,2.7,16,37.66,129.32,강원 동해시 북동쪽 24km 해역
744,2020,12,15,2.3,16,37.7,125.17,북한 황해남도 옹진 남남서쪽 31km 해역
743,2020,11,19,3.1,15,37.99,125.37,북한 황해남도 옹진 북쪽 7km 지역
742,2020,11,17,2.6,,41.28,129.18,북한 함경북도 길주 북북서쪽 38km 지역
741,2020,11,15,2.1,17,35.76,129.18,경북 경주시 남남서쪽 11km 지역
740,2020,11,8,2.9,9,36.41,128.22,경북 상주시 동쪽 5km 지역
739,2020,11,6,2,8,36.43,128.14,경북 상주시 북서쪽 3km 지역
738,2020,11,4,2.4,22,35.84,129.79,경북 포항시 남구 동남동쪽 43km 해역
737,2020,11,4,2.2,23,35.83,129.78,경북 포항시 남구 동남동쪽 43km 해역
736,2020,11,4,2.8,,38.79,125.72,북한 황해북도 송림 북동쪽 10km 지역
735,2020,10,25,2.5,17,33.89,125.65,전남 진도군 남서쪽 87km 해역
734,2020,10,24,2.1,21,33.93,127.45,전남 여수시 거문도 남동쪽 16km 해역
733,2020,10,9,2.1,15,35.75,129.17,경북 경주시 남남서쪽 13km 지역
732,2020,10,7,2.1,22,33.92,127.44,전남 여수시 거문도 남동쪽 16km 해역
731,2020,10,3,2.3,,38.83,126.03,북한 황해북도 연산 서남서쪽 20km 지역
730,2020,10,2,2.6,,38.74,125.9,북한 황해북도 송림 동쪽 23km 지역
729,2020,10,2,2.5,,38.74,125.89,북한 황해북도 송림 동쪽 22km 지역
728,2020,9,22,2.1,15,36.6,129.37,경북 영덕군 북쪽 21km 지역
727,2020,9,20,2.2,17,36.51,127.14,충남 공주시 북북동쪽 7km 지역
726,2020,9,13,2.9,15,37.64,124.6,인천 옹진군 백령도 남남서쪽 35km 해역
725,2020,9,12,2.4,15,36.03,128.4,경북 칠곡군 북쪽 4km 지역
724,2020,9,2,2.3,,34.38,126.2,전남 진도군 남남서쪽 13km 지역
723,2020,8,21,2.5,14,37.91,125.93,북한 황해남도 해주 남동쪽 24km 지역
722,2020,8,7,2.4,,41.3,129.09,북한 함경북도 길주 북북서쪽 43km 지역
721,2020,8,5,2,7,38.85,125.71,북한 황해북도 송림 북북동쪽 14km 지역
720,2020,8,1,2,19,36.77,128.48,경북 예천군 북쪽 13km 지역
719,2020,8,1,2,17,38.65,127.16,북한 강원 평강 북북서쪽 29km 지역
718,2020,7,25,2.2,7,34.06,125.54,전남 신안군 흑산도 남쪽 66km 해역
717,2020,7,20,2,11,34.53,128.14,경남 남해군 남남동쪽 41km 해역
716,2020,7,15,2.4,,34.88,124.68,전남 신안군 흑산도 서북서쪽 77km 해역
715,2020,7,11,2.7,,37.88,129.58,강원 동해시 북동쪽 57km 해역
714,2020,7,7,3.3,12,37.19,125.55,인천 옹진군 연평도 남남서쪽 54km 해역
713,2020,7,3,2.3,6,37.18,128.71,강원 영월군 동쪽 22km 지역
712,2020,6,24,2.5,,38.66,125.95,북한 황해북도 사리원 북동쪽 24km 지역
711,2020,6,23,2.1,6,37.86,126.9,경기 파주시 북동쪽 15km 지역
710,2020,6,21,2.3,9,38.47,128.52,강원 고성군 북북동쪽 11km 해역
709,2020,6,8,2.1,5,36.01,128.01,경북 김천시 남남서쪽 17km 지역
708,2020,6,4,2.5,6,38.75,125.69,북한 황해북도 송림 동북동쪽 5km 지역
707,2020,5,27,2.8,6,36.01,128.01,경북 김천시 남남서쪽 17km 지역
706,2020,5,22,2.1,11,37.67,125,북한 황해남도 옹진 남서쪽 43km 해역
705,2020,5,13,2.8,12,36.1,127.34,전북 완주군 북동쪽 27km 지역
704,2020,5,11,3.8,16,38.68,127.18,북한 강원 평강 북북서쪽 32km 지역
703,2020,5,9,2.2,8,38.87,126.22,북한 평안남도 성천 남쪽 41km 지역
702,2020,5,9,2.2,21,34.66,126.4,전남 해남군 서북서쪽 21km 지역
701,2020,5,7,2.1,17,34.77,124.68,전남 신안군 흑산도 서쪽 73km 해역
700,2020,5,5,2.4,,38.47,126.16,북한 황해북도 평산 북서쪽 26km 지역
699,2020,5,3,3.1,21,34.66,126.4,전남 해남군 서북서쪽 21km 지역
698,2020,5,2,2.3,21,34.66,126.4,전남 해남군 서북서쪽 21km 지역
697,2020,4,30,2.4,21,34.66,126.4,전남 해남군 서북서쪽 21km 지역
696,2020,4,29,2.4,,39.39,126.13,북한 평안남도 성천 북북서쪽 18km 지역
695,2020,4,28,2.1,22,34.66,126.41,전남 해남군 서북서쪽 20km 지역
694,2020,4,28,2.4,10,36.16,127.43,충남 금산군 북서쪽 8km 지역
693,2020,4,27,2.8,6,35.8,127.53,전북 장수군 북쪽 17km 지역
692,2020,4,24,2.3,15,35.3,125.54,전남 신안군 흑산도 북쪽 73km 해역
691,2020,4,22,2.1,9,38.11,130.01,강원 동해시 북동쪽 102km 해역
690,2020,4,18,2.3,14,37.58,126.14,인천 강화군 서남서쪽 36km 해역
689,2020,4,3,2.2,,38.75,125.72,북한 황해북도 송림 동북동쪽 8km 지역
688,2020,3,20,2.7,9,35.39,128.01,경남 산청군 동남동쪽 13km 지역
687,2020,3,10,2,12,35.44,125.54,전북 군산시 어청도 남남서쪽 85km 해역
686,2020,2,29,2.4,8,38.45,126.17,북한 황해북도 평산 북서쪽 24km 지역
685,2020,2,29,2.7,8,38.46,126.17,북한 황해북도 평산 북서쪽 24km 지역
684,2020,2,16,2.7,19,36.26,130.49,경북 영덕군 동쪽 102km 해역
683,2020,2,9,2.4,9,35.77,129.03,경북 경주시 서남서쪽 18km 지역
682,2020,1,30,3.2,21,36.59,128.12,경북 상주시 북쪽 20km 지역
681,2020,1,29,2.5,,41.29,129.11,북한 함경북도 길주 북북서쪽 41km 지역
680,2020,1,15,2.1,8,37.11,128.29,충북 제천시 동남동쪽 9km 지역
679,2020,1,8,2,17,35.91,128.38,경북 성주군 동쪽 9km 지역
678,2019,12,30,2.1,19,35.56,128.9,경남 밀양시 동북동쪽 15km 지역
677,2019,12,30,3.5,20,35.56,128.9,경남 밀양시 동북동쪽 15km 지역
676,2019,12,29,2.3,17,33.33,127.16,제주 서귀포시 동쪽 56km 해역
675,2019,12,24,2.4,18,33.29,127.16,제주 서귀포시 동쪽 56km 해역
674,2019,12,17,2.1,11,38.01,126,북한 황해남도 해주 동쪽 25km 지역
673,2019,12,15,2,11,37.16,126.22,충남 서산시 북북서쪽 46km 해역
672,2019,12,12,2.1,21,33.55,126.92,제주 제주시 동쪽 36km 해역
671,2019,12,8,2,,35.12,124.96,전남 신안군 흑산도 북서쪽 70km 해역
670,2019,12,4,2.6,9,33.94,124.7,전남 신안군 흑산도 남서쪽 106km 해역
669,2019,11,29,2,21,36.86,129.79,경북 울진군 동남동쪽 38km 해역
668,2019,11,21,2.4,12,33.83,128.09,전남 여수시 거문도 동남동쪽 75km 해역
667,2019,11,21,2.3,6,35.13,124.93,전남 신안군 흑산도 북서쪽 73km 해역
666,2019,11,9,2.4,9,37.62,124.65,인천 옹진군 백령도 남쪽 37km 해역
665,2019,10,31,2.1,,37.24,126.11,인천 옹진군 서남서쪽 52km 지역
664,2019,10,30,2.3,5,36.68,128.61,경북 안동시 북서쪽 16km 지역
663,2019,10,27,3.4,11,35.41,128.49,경남 창녕군 남쪽 15km 지역
662,2019,10,20,2.2,10,33.41,125.13,제주 제주시 서쪽 130km 해역
661,2019,10,15,2.3,,38.77,125.71,북한 황해북도 송림 동북동쪽 8km 지역
660,2019,10,13,2,20,36.53,129.65,경북 영덕군 동북동쪽 28km 해역
659,2019,10,12,2.5,17,35.18,129.77,울산 동구 남동쪽 48km 해역
658,2019,10,4,2.6,9,35.47,128.86,경남 밀양시 동남동쪽 11km 지역
657,2019,10,2,2.3,11,38.79,125.78,북한 황해북도 송림 동북동쪽 14km 지역
656,2019,9,26,2.3,8,36.09,129.33,경북 포항시 북구 북북서쪽 6km 지역
655,2019,9,22,3.3,17,34.16,125.16,전남 신안군 흑산도 남남서쪽 62km 해역
654,2019,9,21,3.5,17,38.67,127.17,북한 강원 평강 북북서쪽 31km 지역
653,2019,9,19,2.6,6,33.65,124.99,전남 신안군 흑산도 남남서쪽 120km 해역
652,2019,9,11,2,9,38.13,127.09,경기 연천군 북북동쪽 4km 지역
651,2019,9,7,2,14,35.48,129.54,울산 동구 동남동쪽 12km 해역
650,2019,9,1,2.3,16,39.51,126.1,북한 평안남도 개천 남동쪽 27km 지역
649,2019,8,28,2.5,26,36.24,130.01,경북 영덕군 동남동쪽 61km 해역
648,2019,8,23,2.7,7,37.96,124.69,인천 옹진군 백령도 북동쪽 1km 지역
647,2019,8,20,2.8,22,33.57,124.81,전남 신안군 흑산도 남남서쪽 135km 해역
646,2019,8,11,2.1,10,37.97,124.63,인천 옹진군 백령도 서북서쪽 5km 지역
645,2019,8,10,2.3,18,33.78,126.92,전남 여수시 거문도 남서쪽 45km 해역
644,2019,8,9,2.2,,39.31,124.71,북한 평안북도 철산 남쪽 51km 해역
643,2019,7,30,2.1,6,35,128.3,경남 고성군 북서쪽 4km 지역
642,2019,7,25,2.8,13,37.35,129.84,경북 울진군 북동쪽 56km 해역
641,2019,7,22,2,13,35.82,125.56,전북 군산시 어청도 남서쪽 50km 해역
640,2019,7,21,3.9,14,36.5,128.1,경북 상주시 북북서쪽 11km 지역
639,2019,7,20,2,15,36.33,128.08,경북 상주시 남서쪽 11km 지역
638,2019,7,10,2.1,6,38.7,125.73,북한 황해북도 송림 동남동쪽 9km 지역
637,2019,7,8,2.2,20,37.89,129.55,강원 동해시 북동쪽 56km 해역
636,2019,7,2,2.7,21,35.88,129.69,경북 포항시 남구 동남동쪽 33km 해역
635,2019,6,27,2.1,,38.75,125.71,북한 황해북도 송림 동북동쪽 7km 지역
634,2019,6,27,2.5,,38.77,125.7,북한 황해북도 송림 북동쪽 7km 지역
633,2019,6,27,3.9,,38.8,125.69,북한 황해북도 송림 북동쪽 9km 지역
632,2019,6,23,2.4,16,36.69,128.41,경북 예천군 북서쪽 5km 지역
631,2019,6,23,2.4,6,38.75,125.73,북한 황해북도 송림 동쪽 8km 지역
630,2019,6,23,3.4,,38.81,125.7,북한 황해북도 송림 북동쪽 10km 지역
629,2019,6,22,3.4,,38.81,125.7,북한 황해북도 송림 북동쪽 10km 지역
628,2019,6,22,2.7,,38.81,125.71,북한 황해북도 송림 북동쪽 10km 지역
627,2019,6,21,2.5,7,38.81,125.68,북한 황해북도 송림 북북동쪽 9km 지역
626,2019,6,15,2.2,21,35.71,126.36,전북 부안군 서쪽 34km 해역
625,2019,6,11,2.5,19,35.76,129.19,경북 경주시 남남서쪽 9km 지역
624,2019,5,17,2.4,6,38.37,126.3,북한 황해북도 평산 서북서쪽 9km 지역
623,2019,5,16,3.3,5,39.15,126.47,북한 평안남도 양덕 서남서쪽 16km 지역
622,2019,5,13,2.4,17,33.35,127.17,제주 서귀포시 동쪽 58km 해역
621,2019,5,10,2,12,36.56,129.64,경북 영덕군 동북동쪽 29km 해역
620,2019,5,5,2.1,18,36.55,129.54,경북 영덕군 북동쪽 22km 해역
619,2019,5,4,2.4,6,37.42,124.56,인천 옹진군 백령도 남쪽 60km 해역
618,2019,4,27,2.5,17,33.79,126.09,제주 제주시 북서쪽 52km 해역
617,2019,4,22,3.8,21,36.86,129.8,경북 울진군 동남동쪽 38km 해역
616,2019,4,19,4.3,32,37.88,129.54,강원 동해시 북동쪽 54km 해역
615,2019,3,28,2.2,16,33.62,126.94,제주 제주시 동북동쪽 40km 해역
614,2019,3,21,2.7,6,37.56,125.2,북한 황해남도 옹진 남남서쪽 43km 해역
613,2019,3,21,2.8,11,41.32,129.09,북한 함경북도 길주 북북서쪽 45km 지역
612,2019,3,19,2.2,11,38.01,126,북한 황해남도 해주 동쪽 25km 지역
611,2019,3,17,2.3,13,36.34,127.87,충북 옥천군 동쪽 27km 지역
610,2019,3,13,2.4,13,33.63,126.93,제주 제주시 동북동쪽 40km 해역
609,2019,3,11,2.4,15,33.47,126.4,제주 제주시 서남서쪽 13km 지역
608,2019,3,9,2,12,36.82,128.73,경북 봉화군 남쪽 8km 지역
607,2019,3,3,2.5,,39.63,127.12,북한 함경남도 금야 북서쪽 15km 지역
606,2019,2,27,2.2,12,37.31,124.74,인천 옹진군 백령도 남쪽 72km 해역
605,2019,2,25,2.9,10,36.77,129.03,경북 영양군 북북서쪽 14km 지역
604,2019,2,20,2.9,14,36.51,125.5,충남 태안군 서격렬비도 남남서쪽 12km 해역
603,2019,2,18,2.4,19,36.72,128.41,경북 예천군 북북서쪽 8km 지역
602,2019,2,17,2.6,12,33.29,126.25,제주 서귀포시 서쪽 29km 지역
601,2019,2,13,2.7,21,38.9,125.86,북한 평양 남동쪽 17km 지역
600,2019,2,10,2.5,21,36.16,129.85,경북 포항시 북구 동북동쪽 45km 해역
599,2019,2,10,4.1,21,36.16,129.9,경북 포항시 북구 동북동쪽 50km 해역
598,2019,1,31,2.2,19,36.53,129.66,경북 영덕군 동북동쪽 29km 해역
597,2019,1,17,2.7,17,33.94,127.62,전남 여수시 거문도 동남동쪽 30km 해역
596,2019,1,13,2,17,37.02,127.93,충북 충주시 북쪽 3km 지역
595,2019,1,10,2.5,17,35.79,129.2,경북 경주시 남남서쪽 5km 지역
594,2019,1,9,3.7,18,37.37,124.23,인천 옹진군 백령도 남남서쪽 76km 해역
593,2019,1,2,2.2,5,36.77,128.31,경북 문경시 북북동쪽 23km 지역
592,2019,1,2,2.8,12,41.3,129.21,북한 함경북도 길주 북북서쪽 40km 지역
591,2019,1,1,3.1,19,36.53,129.66,경북 영덕군 동북동쪽 29km 해역
590,2018,12,27,2,5,36.99,128.89,경북 봉화군 북동쪽 18km 지역
589,2018,12,21,2.7,12,35.76,127.95,경남 거창군 북북동쪽 9km 지역
588,2018,12,20,2,21,35.88,129.69,경북 포항시 남구 동남동쪽 33km 해역
587,2018,12,17,2.2,20,36.53,129.65,경북 영덕군 동북동쪽 28km 해역
586,2018,12,12,2.1,12,35.72,126.78,전북 부안군 동남동쪽 4km 지역
585,2018,12,9,2.2,19,35.86,129.69,경북 포항시 남구 동남동쪽 34km 해역
584,2018,12,8,2.4,17,36.31,128.25,경북 구미시 북북서쪽 23km 지역
583,2018,12,5,2.5,17,36.45,129.62,경북 영덕군 동쪽 23km 해역
582,2018,12,5,2.1,17,36.45,129.62,경북 영덕군 동쪽 23km 해역
581,2018,11,29,2.1,17,37.32,129.69,경북 울진군 북동쪽 44km 해역
580,2018,11,29,3.3,13,34.94,124.53,전남 신안군 흑산도 서북서쪽 92km 해역
579,2018,11,25,2.1,12,33.15,126.09,제주 서귀포시 서남서쪽 45km 해역
578,2018,11,25,2.2,,38.73,125.92,북한 황해북도 송림 동쪽 25km 지역
577,2018,11,24,2.9,10,38.7,127.16,북한 강원 평강 북북서쪽 34km 지역
576,2018,11,22,2.2,19,35.91,129.71,경북 포항시 남구 동남동쪽 33km 해역
575,2018,11,20,2.3,17,33.52,127.29,전남 여수시 거문도 남쪽 57km 해역
574,2018,11,19,2.1,19,36.42,127.3,대전 유성구 북서쪽 8km 지역
573,2018,11,5,3.1,15,37.85,124.87,인천 옹진군 백령도 남동쪽 20km 해역
572,2018,11,5,3.2,,37.8,124.9,인천 옹진군 백령도 남동쪽 26km 해역
571,2018,11,4,2.5,15,36.08,128.25,경북 김천시 동남동쪽 14km 지역
570,2018,10,25,2.3,16,35.76,129.19,경북 경주시 남남서쪽 9km 지역
569,2018,10,24,2.2,7,38.04,125.37,북한 황해남도 옹진 북쪽 12km 지역
568,2018,10,22,2.1,11,35.61,124.94,전북 군산시 어청도 서남서쪽 109km 해역
567,2018,10,20,2.6,,37.26,129.96,경북 울진군 동북동쪽 58km 해역
566,2018,10,17,2,14,36.16,127.3,충남 논산시 동쪽 18km 지역
565,2018,10,14,2.4,,37.49,124.58,인천 옹진군 백령도 남쪽 52km 해역
564,2018,10,12,2.3,13,38.67,127.18,북한 강원 평강 북북서쪽 30km 지역
563,2018,9,27,2.4,,38.74,125.7,북한 황해북도 송림 동쪽 6km 지역
562,2018,9,25,2.5,16,33.46,125.8,제주 제주시 서쪽 68km 해역
561,2018,9,24,2.8,,40.2,127.7,북한 함경남도 신흥 북동쪽 30km 지역
560,2018,9,17,2.4,12,36.05,129.69,경북 포항시 북구 동쪽 29km 해역
559,2018,9,15,2.4,,37.07,129.91,경북 울진군 동쪽 46km 해역
558,2018,9,14,2.2,14,36.78,128.36,경북 문경시 북동쪽 26km 지역
557,2018,8,29,2.5,11,37,129.32,경북 울진군 서쪽 7km 지역
556,2018,8,24,2.1,18,34.33,127.42,전남 고흥군 남남동쪽 34km 해역
555,2018,8,24,2.6,12,37.92,125.68,북한 황해남도 해주 남남서쪽 14km 지역
554,2018,8,15,2.5,26,37.27,130.63,경북 울릉군 울릉도 남서쪽 34km 해역
553,2018,8,10,2.4,,33.21,127.53,제주 서귀포시 동쪽 90km 해역
552,2018,8,9,2.1,,37.03,125.27,충남 태안군 서격렬비도 북북서쪽 53km 해역
551,2018,8,9,2.1,,37.03,125.3,충남 태안군 서격렬비도 북북서쪽 51km 해역
550,2018,7,22,2.9,13,33.41,125.91,제주 제주시 서쪽 58km 해역
549,2018,7,21,2.2,13,34.47,127.25,전남 고흥군 남남서쪽 16km 해역
548,2018,7,20,2.3,21,35.84,129.79,경북 포항시 남구 동남동쪽 43km 해역
547,2018,7,20,2.4,20,36.01,126.16,전북 군산시 어청도 남동쪽 21km 해역
546,2018,7,19,2.5,23,35.83,129.8,경북 포항시 남구 동남동쪽 44km 해역
545,2018,7,17,2.7,,35.91,127.81,전북 무주군 남동쪽 17km 지역
544,2018,7,4,2.1,10,37.3,127.7,경기 여주시 동쪽 6km 지역
543,2018,7,1,2.2,18,37.63,129.48,강원 삼척시 북동쪽 34km 해역
542,2018,6,28,2.2,,36.99,125.25,충남 태안군 서격렬비도 북북서쪽 50km 해역
541,2018,6,28,2.7,9,38.18,127.34,강원 철원군 북북동쪽 4km 지역
540,2018,6,20,2.1,14,34.9,124.81,전남 신안군 흑산면 서북서쪽 66km 해역
539,2018,6,16,2.3,,37.19,129.08,강원 삼척시 남남서쪽 30km 지역
538,2018,6,15,2.1,14,36.39,128.49,경북 의성군 서북서쪽 19km 지역
537,2018,6,9,2.3,18,35.87,129.73,경북 포항시 남구 동남동쪽 37km 해역
536,2018,5,31,2.8,8,38.53,127.68,북한 강원 회양 남남동쪽 19km 지역
535,2018,5,31,2.6,17,36.22,129.38,경북 포항시 북구 북쪽 20km 지역
534,2018,5,22,2.2,18,36.37,129.49,경북 영덕군 동남동쪽 12km 해역
533,2018,5,20,2,10,34.16,125.61,전남 신안군 흑산면 남남동쪽 56km 해역
532,2018,5,14,2.5,16,33.62,125.58,제주 제주시 고산 서북서쪽 65km 해역
531,2018,5,7,2,16,36.72,128.37,경북 예천군 북서쪽 10km 지역
530,2018,5,4,2,12,36.1,127.7,충북 영동군 남서쪽 11km 지역
529,2018,5,2,2.5,11,36.56,127.63,충북 보은군 북서쪽 11km 지역
528,2018,5,1,2,15,35.77,129.2,경북 경주시 남쪽 8km 지역
527,2018,4,24,2.5,10,37.06,125.92,인천 옹진군 덕적도 남서쪽 27km 해역
526,2018,4,23,2.4,17,33.21,126.4,제주 서귀포시 서남서쪽 16km 해역
525,2018,4,23,2.3,,41.35,129.12,북한 함경북도 길주 북북서쪽 47km 지역
524,2018,4,9,2.4,16,35.76,129.19,경북 경주시 남남서쪽 8km 지역
523,2018,4,6,2.6,24,36.08,129.82,경북 포항시 북구 동쪽 41km 해역
522,2018,3,31,2,8,36.1,129.36,경북 포항시 북구 북쪽 7km 지역
521,2018,3,26,2.7,,37.78,124.84,인천 백령도 남동쪽 24km 해역
520,2018,3,16,2.7,12,36.1,129.35,경북 포항시 북구 북북서쪽 7km 지역
519,2018,3,16,2,6,36.98,128.42,충북 단양군 동남동쪽 5km 지역
518,2018,3,10,2.8,6,36.14,129.37,경북 포항시 북구 북쪽 11km 지역
517,2018,3,9,2.2,7,36.95,126.45,충남 서산시 북쪽 18km 지역
516,2018,3,8,2,17,35.31,127.32,전남 곡성군 북동쪽 4km 지역
515,2018,3,8,2,15,35.3,127.33,전남 곡성군 동북동쪽 4km 지역
514,2018,3,4,2.6,9,38.13,130.33,경북 울릉군 북서쪽 88km 해역
513,2018,2,27,2.4,13,37.09,124.87,충남 태안군 서격렬비도 북서쪽 80km 해역
512,2018,2,26,2.5,6,34.52,125.32,전남 신안군 흑산면 남서쪽 20km 해역
511,2018,2,26,2.4,16,33.97,126.87,전남 완도군 남남동쪽 39km 해역
510,2018,2,18,2.4,9,36.07,129.33,경북 포항시 북구 북서쪽 4km 지역
509,2018,2,17,2.2,10,36.1,129.35,경북 포항시 북구 북북서쪽 6km 지역
508,2018,2,17,2.6,8,36.09,129.33,경북 포항시 북구 북북서쪽 6km 지역
507,2018,2,17,2,12,36.11,129.37,경북 포항시 북구 북쪽 8km 지역
506,2018,2,14,2.3,8,37.8,125.38,북한 황해남도 옹진 남쪽 14km 해역
505,2018,2,13,2.5,10,36.12,129.37,경북 포항시 북구 북쪽 9km 지역
504,2018,2,13,2.6,9,36.07,129.33,경북 포항시 북구 북서쪽 5km 지역
503,2018,2,11,2.4,16,36.08,129.33,경북 포항시 북구 북서쪽 5km 지역
502,2018,2,11,2.1,9,36.08,129.32,경북 포항시 북구 북서쪽 6km 지역
